height (m),month
0.6725137856552951,JAN
0.6133594050625301,FEB
0.5390972069485175,MAR
0.6512722257295174,APR
0.7969441593352884,MAY
0.6240713995109829,JUN
0.5970824966737265,JUL
0.6014621286146594,AUG
