time,height (m)
2022-01-18 00:00:00+03:00,0.7702564102564102
2022-01-19 00:00:00+03:00,0.7462958697988638
2022-01-20 00:00:00+03:00,0.7223353293413174
2022-01-21 00:00:00+03:00,0.702950819672131
2022-01-22 00:00:00+03:00,0.7000719424460432
2022-01-23 00:00:00+03:00,0.6916363636363636
2022-01-24 00:00:00+03:00,0.6791696750902527
2022-01-25 00:00:00+03:00,0.6677898550724638
2022-01-26 00:00:00+03:00,0.6613454545454546
2022-01-27 00:00:00+03:00,0.6514233576642336
2022-01-28 00:00:00+03:00,0.6478291814946618
2022-01-29 00:00:00+03:00,0.6204982206405694
2022-01-30 00:00:00+03:00,0.6154480286738352
2022-01-31 00:00:00+03:00,0.6029390681003585
2022-02-01 00:00:00+03:00,0.5986832740213522
2022-02-02 00:00:00+03:00,0.6373404255319148
2022-02-03 00:00:00+03:00,0.6420212765957447
2022-02-04 00:00:00+03:00,0.641841155234657
2022-02-05 00:00:00+03:00,0.6360357142857143
2022-02-06 00:00:00+03:00,0.652695035460993
2022-02-07 00:00:00+03:00,0.6217081850533808
2022-02-08 00:00:00+03:00,0.6149458483754513
2022-02-09 00:00:00+03:00,0.6080286738351254
2022-02-10 00:00:00+03:00,0.6013167259786477
2022-02-11 00:00:00+03:00,0.5959929078014184
2022-02-12 00:00:00+03:00,0.5993548387096774
2022-02-13 00:00:00+03:00,0.5930496453900709
2022-02-14 00:00:00+03:00,0.5767259786476868
2022-02-15 00:00:00+03:00,0.5791428571428572
2022-02-16 00:00:00+03:00,0.5773758865248226
2022-02-17 00:00:00+03:00,0.5841342756183746
2022-02-18 00:00:00+03:00,0.5848226950354609
2022-02-19 00:00:00+03:00,0.599927536231884
2022-02-20 00:00:00+03:00,0.6018705035971222
2022-02-21 00:00:00+03:00,0.5961678832116788
2022-02-22 00:00:00+03:00,0.6242446043165467
2022-02-23 00:00:00+03:00,0.6694661921708185
2022-02-24 00:00:00+03:00,0.677
2022-02-25 00:00:00+03:00,0.6328214285714285
2022-02-26 00:00:00+03:00,0.6076156583629894
2022-02-27 00:00:00+03:00,0.609963503649635
2022-02-28 00:00:00+03:00,0.6102482269503546
2022-03-01 00:00:00+03:00,0.5926785714285714
