,time,Data
186,16/08/2021,0.224916035
187,17/08/2021,0.232159091
188,18/08/2021,0.233833965
189,19/08/2021,0.216599116
190,20/08/2021,0.220804924
191,21/08/2021,0.221333123
192,22/08/2021,0.215082071
193,23/08/2021,0.190207071
194,24/08/2021,0.170952652
195,25/08/2021,0.168772096
196,26/08/2021,0.179251894
197,27/08/2021,0.178999369
198,28/08/2021,0.192361111
199,29/08/2021,0.198059343
200,30/08/2021,0.168652146
201,31/08/2021,0.297092803
202,1/9/2021,0.273828914
203,2/9/2021,0.244539141
204,3/9/2021,0.229195076
205,4/9/2021,0.235113636
206,5/9/2021,0.228768939
207,6/9/2021,0.224805556
208,7/9/2021,0.23
209,8/9/2021,0.23
210,9/9/2021,0.23
211,10/9/2021,0.23
212,11/9/2021,0.23
213,12/9/2021,0.23
214,13/09/2021,0.23
215,14/09/2021,0.23
216,15/09/2021,0.23
217,16/09/2021,0.198265242
218,17/09/2021,0.181885732
219,18/09/2021,0.156433081
220,19/09/2021,0.278806818
221,20/09/2021,0.224857955
222,21/09/2021,0.166458333
223,22/09/2021,0.16669697
224,23/09/2021,0.163671086
225,24/09/2021,0.164640152
226,25/09/2021,0.150506313
227,26/09/2021,0.153816288
228,27/09/2021,0.157149621
229,28/09/2021,0.15792298
230,29/09/2021,0.164362374
231,30/09/2021,0.153544823
232,1/10/2021,0.174864268
233,2/10/2021,0.167465278
234,3/10/2021,0.153680556
235,4/10/2021,0.163989899
236,5/10/2021,0.362140152
237,6/10/2021,0.434758523
238,7/10/2021,0.293402778
239,8/10/2021,0.241401515
240,9/10/2021,0.296991793
241,10/10/2021,0.282007576
242,11/10/2021,0.262026515
243,12/10/2021,0.220377525
244,13/10/2021,0.220486742
245,14/10/2021,0.239236111
246,15/10/2021,0.265123737
247,16/10/2021,0.226212753
248,17/10/2021,0.209185606
249,18/10/2021,0.32006471
250,19/10/2021,0.331565657
251,20/10/2021,0.289693813
252,21/10/2021,0.386325758
253,22/10/2021,0.410104798
254,23/10/2021,0.392361111
255,24/10/2021,0.408967803
256,25/10/2021,0.401685606
257,26/10/2021,0.358721591
258,27/10/2021,0.457482534
259,28/10/2021,0.47603367
260,29/10/2021,0.391326539
261,30/10/2021,0.447089226
262,31/10/2021,0.396846215
263,1/11/2021,0.365912774
264,2/11/2021,0.463457431
265,3/11/2021,0.338234894
266,4/11/2021,0.320760311
267,5/11/2021,0.310120611
268,6/11/2021,0.307015242
269,7/11/2021,0.297422739
270,8/11/2021,0.278327892
271,9/11/2021,0.270487584
272,10/11/2021,0.28448548
273,11/11/2021,0.275849747
274,12/11/2021,0.268484848
275,13/11/2021,0.258607955
276,14/11/2021,0.258948864
277,15/11/2021,0.260890152
278,16/11/2021,0.254535985
279,17/11/2021,0.263162879
280,18/11/2021,0.369065657
281,19/11/2021,0.392418981
282,20/11/2021,0.305744949
283,21/11/2021,0.295931818
284,22/11/2021,0.296556187
285,23/11/2021,0.279824495
286,24/11/2021,0.302049663
287,25/11/2021,0.297424242
288,26/11/2021,0.299182449
289,27/11/2021,0.306973485
290,28/11/2021,0.373765783
291,29/11/2021,0.497149621
292,30/11/2021,0.467526726
293,1/12/2021,0.519915825
