height (m),month
0.2766576567064372,JAN
0.2257573663935271,FEB
0.15081141193036354,MAR
0.2689858741181658,APR
0.3937460705363931,MAY
0.21948192690796858,JUN
0.19249658547844034,JUL
0.19732745644648733,AUG
